month_end,ff_mktrf,ff_smb,ff_hml,ff_rmw,ff_cma,ff_mom,ff_rf,smlo_vwret,smme_vwret,smhi_vwret,bilo_vwret,bime_vwret,bihi_vwret,crsp_ind12_buseq,crsp_ind12_chems,crsp_ind12_durbl,crsp_ind12_enrgy,crsp_ind12_hlth,crsp_ind12_manuf,crsp_ind12_money,crsp_ind12_nodur,crsp_ind12_other,crsp_ind12_shops,crsp_ind12_telcm,crsp_ind12_utils,crsp_tsy_10_20y,crsp_tsy_1_3y,crsp_tsy_20y_plus,crsp_tsy_7_10y,crsp_tsy_3_7y
1930-03-31,,,,,,,,0.0868,0.1133,0.1069,0.0676,0.0842,0.0535,0.0819060889,0.0900237641,0.1148291253,0.1818752221,0.0696454602,0.0618452204,0.0774855188,0.0163284091,0.0457056862,-0.028290928,0.0880373895,0.092772401,0.010451283,0.0065034399,0.0072743528,0.0092676918,0.0004777114
1930-04-30,,,,,,,,-0.071,-0.0125,-0.0348,-0.0234,-0.0176,-0.0668,0.0203039404,-0.032329235,-0.079055799,0.0649574321,-0.010609453,-0.074236296,-0.027096181,0.0067480109,-0.061396742,0.0276986007,-0.044893244,0.025172258,0.0003737806,0.0031629327,-0.001537919,0.0016934875,-0.000791258
1930-05-31,,,,,,,,-0.0361,-0.0269,-0.0299,0.007,-0.0228,-0.014,-0.048187308,-0.019835398,0.0395694029,-0.036987967,-0.018237299,-0.021629769,-0.058299531,0.0161916995,-0.007074051,-0.00424137,0.0034597433,-0.017424111,0.0075872317,0.0067835225,0.010510532,0.0089530123,0.0027490385
1930-06-30,,,,,,,,-0.1798,-0.1645,-0.1904,-0.177,-0.1316,-0.1184,-0.217061912,-0.168823994,-0.225775299,-0.154035927,-0.132312487,-0.161195802,-0.229603132,-0.11182461,-0.114774529,-0.167075853,-0.083207905,-0.201193707,0.0089171941,0.0073258501,0.0042964395,0.0087524769,0.000476493
1930-07-31,,,,,,,,0.0652,0.0364,0.0257,0.0471,0.0355,0.0527,0.0414010522,0.0567955948,0.1205079211,0.051903905,0.0652253807,0.0414194164,0.0422392095,0.0313908848,0.0321218699,0.0255702287,0.0127470472,0.0405637118,0.00229178,0.003425336,0.0024316121,0.0052537742,0.0004233476
1930-08-31,,,,,,,,-0.0378,-0.0163,-0.0232,0.0102,-0.0067,-0.0162,0.0173789965,0.0389075407,-0.018963578,-0.029727354,0.0770806317,-0.013503665,0.0123077017,0.0196838393,-0.00632893,0.0495205588,0.0173516101,0.0117963348,0.002679358,0.0013594135,0.0010517181,0.0023086334,0.0027505951
1930-09-30,,,,,,,,-0.1379,-0.1474,-0.195,-0.1269,-0.1097,-0.1716,-0.191093691,-0.131105053,-0.167177039,-0.15650248,-0.086984716,-0.14354603,-0.161048521,-0.092881709,-0.093812558,-0.109285834,-0.052355413,-0.119240146,0.0067912979,0.0037149712,0.0089743564,0.0083370151,0.0041346409
1930-10-31,,,,,,,,-0.1048,-0.0771,-0.1041,-0.0923,-0.073,-0.1149,-0.180697541,-0.105670299,-0.116372237,-0.079575111,-0.043701723,-0.096563174,-0.131090804,-0.048115572,-0.074361994,-0.086478485,-0.040969462,-0.082808346,0.0039228911,0.0022026833,0.0031582317,0.0050428588,0.0028506572
1930-11-30,,,,,,,,0.0069,-0.0283,-0.025,-0.0216,-0.0326,-0.066,-0.034977879,-0.003819293,0.0535632666,-0.040334232,-0.032831697,-0.005245672,-0.100413801,0.0017707817,-0.047874371,0.0268620983,-0.033098134,-0.0895725,0.0073126286,0.0024925605,0.0036179348,0.0047548399,0.0015265568
1930-12-31,,,,,,,,-0.1086,-0.1097,-0.1784,-0.0608,-0.0911,-0.1048,-0.105833563,-0.048389644,-0.012561367,-0.122955185,-0.067866638,-0.099398029,-0.141102803,-0.045202497,-0.084203191,-0.135692468,-0.037954299,-0.050286667,0.0017669783,0.0032173327,-0.00376641,0.0025306893,0.0016900813
1931-01-31,,,,,,,,0.0985,0.1141,0.1616,0.0453,0.0779,0.1469,0.0522365872,0.0113567135,0.0805504748,0.0537364278,0.0818374789,0.0462656267,0.131767216,0.0533669073,0.1108707369,0.0711177938,0.0480109557,0.0619717673,-0.005952668,0.0022289064,-0.00941515,-0.002350263,0.0028472003
1931-02-28,,,,,,,,0.1321,0.1157,0.1701,0.1255,0.0689,0.12,0.2366146815,0.1171765364,0.1740530913,0.0564090984,0.0774099789,0.1356007401,0.1770288415,0.0667419492,0.0377685101,0.1474236135,0.0596005184,0.1542473021,0.0050366648,0.0010792163,0.0068098481,0.0071564413,-0.000898522
1931-03-31,,,,,,,,-0.0491,-0.0295,-0.0722,-0.0483,-0.0981,-0.0894,-0.07887019,-0.062856846,-0.038216732,-0.14611594,0.0178004448,-0.069457533,-0.092863253,-0.016551659,-0.095258025,-0.032861909,-0.036127883,-0.029523139,0.0064483659,0.0019970397,0.0079753442,0.006549442,0.0016945215
1931-04-30,,,,,,,,-0.1243,-0.1397,-0.1818,-0.0888,-0.1127,-0.1178,-0.142428594,-0.107956316,-0.078815474,-0.138354004,-0.032529055,-0.151205848,-0.174883656,-0.052279617,-0.092063456,-0.048147055,-0.041806783,-0.091046066,0.0061283833,0.0025089101,0.0074103297,0.0063875168,0.0028512571
1931-05-31,,,,,,,,-0.0967,-0.0876,-0.1372,-0.1141,-0.164,-0.2,-0.123626266,-0.117529211,-0.160938364,-0.130528952,-0.100020468,-0.186293878,-0.170312118,-0.110493283,-0.171948514,-0.033344318,-0.089939019,-0.112442256,0.0094624695,0.003625307,0.0093064844,0.009190662,0.0015283339
1931-06-30,,,,,,,,0.1027,0.0791,0.2137,0.1309,0.1611,0.2538,0.1913602346,0.1699463128,0.1466799743,0.1765703567,0.0957573755,0.1753099391,0.1806855931,0.1072619335,0.1505658599,0.0786032103,0.1021362928,0.1111509476,0.0027467583,0.0011575887,-0.001406301,0.0038187575,-0.001954157
1931-07-31,,,,,,,,-0.0856,-0.0897,-0.0575,-0.0518,-0.102,-0.1238,-0.106339519,-0.052408486,-0.021018612,-0.036291471,0.0260504745,-0.126490981,-0.088126765,-0.038286637,-0.100397507,-0.015307782,-0.048729096,-0.053921202,0.0024705449,0.0010731852,-0.000768337,0.0033949483,0.001640472
1931-08-31,,,,,,,,-0.016,-0.0115,-0.0376,0.013,-0.0162,0.0005,0.0354509485,0.0084372441,-0.027964171,0.0948717255,0.0038981806,-0.004604192,0.0040117959,-0.006412493,-0.049521818,0.0300675533,0.0081511255,-0.00016387,0.0014446692,0.0001495472,0.0021616904,0.0038287953,0.0016377853
1931-09-30,,,,,,,,-0.2774,-0.32,-0.3532,-0.2827,-0.2857,-0.3517,-0.346498957,-0.316551882,-0.348124211,-0.302984472,-0.294532867,-0.28881114,-0.400282865,-0.24802151,-0.236948263,-0.302709201,-0.215581019,-0.330533807,-0.015008357,-0.001020633,-0.02271093,-0.020628276,-0.000848042
1931-10-31,,,,,,,,0.0426,0.1169,0.082,0.0951,0.0365,0.1182,0.1157753451,0.0730789094,0.1298468379,0.1401690771,0.1125910476,0.0596518861,0.1201505842,0.0692527935,0.0009820355,0.138452977,0.0434453003,0.1047555434,-0.025739999,-0.000158086,-0.029626614,0.0010459129,-0.00557105
1931-11-30,,,,,,,,-0.0765,-0.0713,-0.0957,-0.0611,-0.1688,-0.1457,-0.145068707,-0.056732775,-0.034980001,-0.086882272,-0.027901635,-0.100443227,-0.113608617,-0.044097438,-0.206256015,-0.093524597,-0.068560352,-0.04767562,0.0072431078,0.0014406641,0.0015480424,,-0.00079997
