norm,lambda,eta,date,regime,eq_idx,bd_idx
L2,3.0,8.0,1988-08-31,calm,0.7244709692960787,0.8081240907240841
L2,3.0,8.0,1988-09-30,calm,0.7487617564256068,0.8214092397266716
L2,3.0,8.0,1988-10-31,calm,0.7636359087170015,0.831862710399286
L2,3.0,8.0,1988-11-30,calm,0.7448573380857417,0.8170157685907626
L2,3.0,8.0,1988-12-31,calm,0.751105201437605,0.8127883664593976
L2,3.0,8.0,1989-01-31,calm,0.8003889692299334,0.8200126584783346
L2,3.0,8.0,1989-02-28,calm,0.7723401381922397,0.8090667714858358
L2,3.0,8.0,1989-03-31,calm,0.7832347681815793,0.8071440651331832
L2,3.0,8.0,1989-04-30,calm,0.8172193247729781,0.818626487951522
L2,3.0,8.0,1989-05-31,normal,0.8394787447411446,0.8336708585281035
L2,3.0,8.0,1989-06-30,normal,0.8268655766014089,0.8531355316762737
L2,3.0,8.0,1989-07-31,normal,0.8941476285694655,0.8652986266038504
L2,3.0,8.0,1989-08-31,calm,0.9014054248705637,0.8460753492028189
L2,3.0,8.0,1989-09-30,calm,0.889647492508552,0.8449059390376027
L2,3.0,8.0,1989-10-31,calm,0.8612010139355911,0.8599649837103096
L2,3.0,8.0,1989-11-30,calm,0.8695038529109441,0.8622276296017006
L2,3.0,8.0,1989-12-31,calm,0.882822043425981,0.8592752084448275
L2,3.0,8.0,1990-01-31,calm,0.8170367932160072,0.8441664158295532
L2,3.0,8.0,1990-02-28,calm,0.8193563606719475,0.8420862493733268
L2,3.0,8.0,1990-03-31,calm,0.8339859684917451,0.8373171005832252
L2,3.0,8.0,1990-04-30,calm,0.8058080845743145,0.8238685265748231
L2,3.0,8.0,1990-05-31,calm,0.8744540694911158,0.8426596334138388
L2,3.0,8.0,1990-06-30,calm,0.8611746099918237,0.8508714992201828
L2,3.0,8.0,1990-07-31,calm,0.850820707655892,0.8568557815520598
L2,3.0,8.0,1990-08-31,stressed,0.7649609867635053,0.8397575802387465
L2,3.0,8.0,1990-09-30,normal,0.721217457696421,0.8416663145233385
