date,regime,target_next_regime,eq_tot_next,bd_tot_next,rf_tot_next,pred_RF,p_RF_calm,p_RF_normal,p_RF_stressed,pred_Logit,p_Logit_calm,p_Logit_normal,p_Logit_stressed
2009-04-30,normal,normal,0.053081,0.0072534609468466,0.0,normal,0.06686608388444608,0.5938066551360257,0.3393272609795283,normal,0.11258097857919071,0.5822630225577422,0.305155998863067
2009-05-31,normal,normal,0.000196,0.0056876798609981,0.0001,normal,0.06546331749829154,0.5951730055970503,0.3393636769046582,normal,0.09825322888464795,0.6036241598583392,0.2981226112570129
2009-06-30,normal,normal,0.074142,0.0161296853699031,0.0001,normal,0.0590222519014793,0.6034395998221657,0.33753814827635503,normal,0.09591870495965699,0.5990731424672304,0.3050081525731127
2009-07-31,normal,normal,0.03356,0.0103544007863765,0.0001,normal,0.05868088465047619,0.6052750029086208,0.336044112440903,normal,0.08254978740938455,0.612859432178519,0.3045907804120964
2009-08-31,normal,normal,0.035723,0.010504657415381,0.0001,normal,0.0492626092133883,0.7610885812493855,0.18964880953722626,normal,0.030207191133857468,0.8031771778177454,0.16661563104839702
2009-09-30,normal,normal,-0.019762,0.0049375166698109,0.0,normal,0.04780440976402944,0.7624521163336181,0.1897434739023525,normal,0.028965706168953248,0.821719330025547,0.1493149638054998
2009-10-31,normal,normal,0.057364,0.0129466597617815,0.0,normal,0.0472431268316125,0.763013399266035,0.1897434739023525,normal,0.027873825941624252,0.8247340659596379,0.14739210809873785
2009-11-30,normal,normal,0.017771,-0.015631390593047,0.0001,normal,0.04643590935772835,0.7626655505524255,0.19089854008984627,normal,0.02957450453312875,0.8024107731771855,0.16801472228968564
2009-12-31,normal,normal,-0.036974,0.0152758481893606,0.0,normal,0.04587050159171636,0.7625120144235672,0.19161748398471637,normal,0.026130834081774645,0.8094233721282769,0.1644457937899486
2010-01-31,normal,normal,0.028514,0.0037343257431885,0.0,normal,0.044511945956596057,0.7620258579147201,0.19346219612868387,normal,0.02454716232670148,0.7310012685218822,0.24445156915141636
2010-02-28,normal,normal,0.058796,-0.0012295264730428,0.0001,normal,0.045319676489492894,0.7716119214911057,0.18306840201940164,normal,0.01271299842082543,0.798504548616588,0.1887824529625866
2010-03-31,normal,calm,0.014759,0.0104096237992574,0.0001,normal,0.045319676489492894,0.7723658897450739,0.18231443376543335,normal,0.010999444833423383,0.7827268615250852,0.20627369364149148
2010-04-30,calm,normal,-0.081976,0.0084148727984345,0.0001,normal,0.35354870558834856,0.40240602506378836,0.24404526934786322,stressed,0.1907349796297483,0.3518109839946944,0.45745403637555737
2010-05-31,normal,normal,-0.053882,0.0156814383102859,0.0001,normal,0.06507643851139622,0.7020805995773944,0.2328429619112097,normal,0.023193075363023077,0.8434375241559224,0.13336940048105453
2010-06-30,normal,normal,0.068778,0.0106750160248507,0.0001,normal,0.06412168217025473,0.7048662749597611,0.23101204286998453,normal,0.021767080206716093,0.8762984514990454,0.10193446829423858
2010-07-31,normal,normal,-0.047449,0.0128613245517748,0.0001,normal,0.06268659596414972,0.7058815952045269,0.23143180883132355,normal,0.01935876276815905,0.9021757299874846,0.07846550724435634
2010-08-31,normal,normal,0.087551,0.0010656936943445,0.0001,normal,0.06336696422602878,0.8873700798004647,0.049262955973506516,normal,0.08188971285155655,0.8663192844753979,0.051791002673045504
2010-09-30,normal,normal,0.036856,0.0035605595852428,0.0001,normal,0.06061468423808541,0.8968629739625865,0.04252234179932834,normal,0.07382950287430344,0.8852436885659595,0.04092680855973717
2010-10-31,normal,normal,-0.00229,-0.0057474019825239,0.0001,normal,0.060236029267325165,0.8972416289333468,0.04252234179932834,normal,0.07771129927414504,0.8779311214901069,0.04435757923574809
2010-11-30,normal,calm,0.0653,-0.0107836695820952,0.0001,normal,0.06060283838413428,0.8968748198165376,0.04252234179932834,normal,0.08592322113631695,0.8640533536930453,0.05002342517063776
2010-12-31,calm,calm,0.022646,0.0011638535128877,0.0001,normal,0.4241372363573202,0.5451700300115964,0.03069273363108338,calm,0.5655115080694019,0.3764625249886436,0.05802596694195457
2011-01-31,calm,calm,0.031957,0.00250150638158,0.0001,normal,0.42909292064517707,0.5498156818456071,0.021091397509215626,calm,0.5779854755857974,0.3561925472731683,0.06582197714103435
2011-02-28,calm,calm,-0.001047,0.0005524794793336,0.0001,calm,0.48845438637185373,0.4813019757425385,0.030243637885607563,calm,0.4898699904248659,0.36923704743808605,0.14089296213704813
2011-03-31,calm,calm,0.028495,0.0126939436782098,0.0,normal,0.4266998862915323,0.4961434056984089,0.07715670801005878,calm,0.4553143065963137,0.38359319429158073,0.16109249911210546
2011-04-30,calm,calm,-0.013501,0.0130501213337728,0.0,normal,0.4669970818081241,0.48056408009610546,0.05243883809577049,calm,0.47974908305772446,0.37770955403124623,0.14254136291102915
