realtime_start,realtime_end,date,value
2026-03-13,2026-03-13,2021-01-01,124.03752
2026-03-13,2026-03-13,2021-04-01,121.78582
2026-03-13,2026-03-13,2021-07-01,118.54086
2026-03-13,2026-03-13,2021-10-01,119.3588
2026-03-13,2026-03-13,2022-01-01,120.39819
2026-03-13,2026-03-13,2022-04-01,118.20207
2026-03-13,2026-03-13,2022-07-01,117.43832
2026-03-13,2026-03-13,2022-10-01,117.36678
2026-03-13,2026-03-13,2023-01-01,115.58614
2026-03-13,2026-03-13,2023-04-01,117.44355
2026-03-13,2026-03-13,2023-07-01,118.13897
2026-03-13,2026-03-13,2023-10-01,119.61944
2026-03-13,2026-03-13,2024-01-01,120.47631
2026-03-13,2026-03-13,2024-04-01,119.50314
2026-03-13,2026-03-13,2024-07-01,120.17172
2026-03-13,2026-03-13,2024-10-01,121.43633
2026-03-13,2026-03-13,2025-01-01,120.54515
2026-03-13,2026-03-13,2025-04-01,118.78171
2026-03-13,2026-03-13,2025-07-01,121.02875
2026-03-13,2026-03-13,2025-10-01,122.49035
